ExactMolWt-first-AX,Kappa3-first-AX,ExactMolWt-second-AX,Kappa2-second-AX,qed-first-BX2,first-t,first-u,second-t,second-u,FpDensityMorgan1-postprocessing,HallKierAlpha-postprocessing,HeavyAtomMolWt-postprocessing,Kappa1-postprocessing,SMR_VSA1-postprocessing,qed-postprocessing,stability assessment
80.01412584,17.64888889,110.9683613,26.13421488,0.306447492,0.881950678,0.291666667,0.864853691,0.312267658,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,0
110.9683613,2.44,67.01887687,56.25,0.249154665,0.881950678,0.291666667,0.878312497,0.348186528,1.333333333,0.25,61.471,10.53,0,0.423982533,0
110.9683613,2.44,67.01887687,56.25,0.249154665,0.881950678,0.291666667,0.878312497,0.348186528,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,1
67.01887687,2.25,80.01412584,14.80155125,0.249154665,0.899418894,0.328729282,0.932349987,0.394475138,1.75,-0.24,75.478,9.246570248,0,0.311705297,0
67.01887687,2.25,80.01412584,14.80155125,0.249154665,0.899418894,0.328729282,0.932349987,0.394475138,1.333333333,0.25,61.471,10.53,0,0.423982533,1
67.01887687,2.25,211.823789,3.531948052,0.249154665,0.905980563,0.285714286,0.778162871,0.331784387,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
67.01887687,2.25,211.823789,3.531948052,0.249154665,0.905980563,0.285714286,0.778162871,0.331784387,1,0.25,49.46,56.25,12.40703316,0.313885693,0
110.9683613,2.44,211.823789,3.531948052,0.386859337,0.948165911,0.342857143,0.795763786,0.342857143,1,1.22025974,187.772,10.66090086,39.36170088,0.355106925,0
110.9683613,2.44,211.823789,3.531948052,0.386859337,0.948165911,0.342857143,0.795763786,0.342857143,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
110.9683613,2.44,259.8099249,3.781948052,0.293220167,0.936261757,0.312267658,0.776992421,0.324545455,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
110.9683613,2.44,259.8099249,3.781948052,0.293220167,0.936261757,0.312267658,0.776992421,0.324545455,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
67.01887687,2.25,167.8743046,3.341948052,0.332855883,0.911454154,0.301075269,0.784129002,0.369948187,1.333333333,0.44,105.922,9.876728395,0,0.473886569,0
67.01887687,2.25,167.8743046,3.341948052,0.332855883,0.911454154,0.301075269,0.784129002,0.369948187,1.333333333,0.25,61.471,10.53,0,0.423982533,0
67.01887687,2.25,170.9424697,10.75555556,0.306447492,0.991575026,0.471248247,0.915397985,0.305454545,1.75,-0.24,75.478,9.246570248,0,0.311705297,1
67.01887687,2.25,170.9424697,10.75555556,0.306447492,0.991575026,0.471248247,0.915397985,0.305454545,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
158.9544972,2.69,259.8099249,3.781948052,0.293220167,0.93073995,0.305454545,0.776992421,0.324545455,1.5,-1.09,220.001,9.001659028,9.901064579,0.787926811,0
158.9544972,2.69,259.8099249,3.781948052,0.293220167,0.93073995,0.305454545,0.776992421,0.324545455,1.333333333,0.44,105.922,9.876728395,0,0.473886569,0
